Time(s),Thrust(N),,Data Max,94765.72156,Time Normalized 0-1,Thrust Normalized 0-1,,,
0.03,7339.58497,,,,0.00060241,0.077449787,0.125,0.314227087,0.125
0.06,7484.51308,,,,0.001204819,0.078979118,0.25,0.435644591,
0.09,7629.9509,,,,0.001807229,0.080513827,0.375,0.549849863,
0.12,7775.9004,,,,0.002409639,0.082053935,0.5,0.656931442,
0.15,7922.36359,,,,0.003012048,0.083599465,0.625,0.756956923,0.625
0.18,8069.34246,,,,0.003614458,0.085150435,0.75,0.849979563,
0.21,8216.83902,,,,0.004216867,0.086706869,0.875,0.936042287,0.875
0.24,8364.85528,,,,0.004819277,0.088268787,1,0.972324123,
0.27,8513.39327,,,,0.005421687,0.08983621,,,
0.3,8662.45503,,,,0.006024096,0.09140916,,,
0.33,8812.04259,,,,0.006626506,0.092987659,,,
0.36,8962.15801,,,,0.007228916,0.094571728,,,
0.39,9112.80334,,,,0.007831325,0.096161388,,,
0.42,9263.98065,,,,0.008433735,0.097756662,,,
0.45,9415.69202,,,,0.009036145,0.099357572,,,
0.48,9567.93953,,,,0.009638554,0.100964139,,,
0.51,9720.72527,,,,0.010240964,0.102576386,,,
0.54,9874.05134,,,,0.010843373,0.104194335,,,
0.57,10027.91985,,,,0.011445783,0.105818008,,,
0.6,10182.33292,,,,0.012048193,0.107447427,,,
0.63,10337.29268,,,,0.012650602,0.109082615,,,
0.66,10492.80127,,,,0.013253012,0.110723594,,,
0.69,10648.86082,,,,0.013855422,0.112370387,,,
0.72,10805.4735,,,,0.014457831,0.114023017,,,
0.75,10962.64145,,,,0.015060241,0.115681507,,,
0.78,11120.36687,,,,0.015662651,0.117345879,,,
0.81,11278.65191,,,,0.01626506,0.119016156,,,
0.84,11437.49878,,,,0.01686747,0.120692362,,,
0.87,11596.90968,,,,0.01746988,0.12237452,,,
0.9,11756.8868,,,,0.018072289,0.124062653,,,
0.93,11917.43236,,,,0.018674699,0.125756784,,,
0.96,12078.5486,,,,0.019277108,0.127456937,,,
0.99,12240.23774,,,,0.019879518,0.129163136,,,
1.02,12402.50203,,,,0.020481928,0.130875403,,,
1.05,12565.34371,,,,0.021084337,0.132593764,,,
1.08,12728.76506,,,,0.021686747,0.134318241,,,
1.11,12892.76835,,,,0.022289157,0.13604886,,,
1.14,13057.35584,,,,0.022891566,0.137785643,,,
1.17,13222.52984,,,,0.023493976,0.139528615,,,
1.2,13388.29265,,,,0.024096386,0.1412778,,,
1.23,13554.64657,,,,0.024698795,0.143033223,,,
1.26,13721.59391,,,,0.025301205,0.144794908,,,
1.29,13889.13702,,,,0.025903614,0.146562879,,,
1.32,14057.27822,,,,0.026506024,0.148337162,,,
1.35,14226.01986,,,,0.027108434,0.150117781,,,
1.38,14395.3643,,,,0.027710843,0.151904761,,,
1.41,14286.72552,,,,0.028313253,0.150758368,,,
