Time(s),Thrust(N)
0,0
0.03,22057.99154
0.06,22074.61868
0.09,22091.21853
0.12,22107.21285
0.15,22118.67181
0.18,22130.09699
0.21,22095.54811
0.24,22105.36075
0.27,22115.33037
0.3,22124.71513
0.33,22133.99274
0.36,22142.5061
0.39,22105.67774
0.42,22114.16269
0.45,22122.46497
0.48,22130.54807
0.51,22138.47546
0.54,22146.33589
0.57,22154.10735
0.6,22161.70258
0.63,22169.3157
0.66,22176.87815
0.69,22184.32344
0.72,22191.7177
0.75,22199.00756
0.78,22206.31576
0.81,22213.60275
0.84,22220.77781
0.87,22227.97172
0.9,22235.09687
0.93,22242.19784
0.96,22249.27515
0.99,22256.32044
1.02,22263.36111
1.05,22270.38653
1.08,22277.34644
1.11,22284.31918
1.14,22291.25916
1.17,22298.20833
1.2,22305.13522
1.23,22312.02224
1.26,22318.92912
1.29,22325.80765
1.32,22332.662
1.35,22339.99228
1.38,22347.34249
1.41,22354.68428
1.44,22360.97414
1.47,22367.21165
1.5,22373.49334
1.53,22380.73828
1.56,22387.96728
1.59,22395.08416
1.62,22401.21421
1.65,22407.34742
1.68,22413.62288
1.71,22375.94449
1.74,22383.07801
1.77,22389.9589
1.8,22396.00184
1.83,22402.03399
1.86,22408.33743
1.89,22370.64452
1.92,22377.68107
1.95,22384.34004
1.98,22390.2978
2.01,22396.23245
2.04,22402.57827
2.07,22409.51935
2.1,22416.4451
2.13,22422.87662
2.16,22428.7261
2.19,22434.56255
2.22,22440.93226
2.25,22447.77162
2.28,22454.60818
2.31,22460.80269
2.34,22466.5417
2.37,22472.27842
2.4,22478.66062
2.43,22485.39942
2.46,22492.1257
2.49,22498.08733
2.52,22503.73212
2.55,22509.36009
2.58,22515.76789
2.61,22522.40911
2.64,22529.03075
2.67,22534.76594
2.7,22540.30486
2.73,22545.8287
2.76,22552.26319
2.79,22558.79178
2.82,22565.31105
2.85,22570.81134
2.88,22576.24391
2.91,22581.68135
2.94,22588.11907
2.97,22594.54406
3.0,22556.52602
3.03,22561.88092
3.06,22567.22815
3.09,22572.70145
3.12,22579.04917
3.15,22585.39176
3.18,22547.21198
3.21,22552.48266
3.24,22557.74398
3.27,22563.09024
3.3,22568.7194
3.33,22574.33576
3.36,22580.00973
3.39,22585.83316
3.42,22591.63804
3.45,22597.48501
3.48,22603.40472
3.51,22609.309
3.54,22615.20539
3.57,22621.08607
3.6,22626.957
3.63,22632.80651
3.66,22638.62923
3.69,22644.44198
3.72,22650.1733
3.75,22655.8346
3.78,22661.48964
3.81,22667.04719
3.84,22672.54519
3.87,22678.03366
3.9,22683.38467
3.93,22688.66933
3.96,22693.94082
3.99,22699.08372
4.02,22704.17588
4.05,22709.25366
4.08,22714.15709
4.11,22675.03071
4.14,22679.87982
4.17,22684.5922
4.2,22689.26999
4.23,22693.93709
4.26,22698.4434
4.29,22659.00508
4.32,22663.48613
4.35,22667.85544
4.38,22672.21177
4.41,22676.55333
4.44,22680.7757
4.47,22684.98745
4.5,22689.18746
4.53,22693.3471
4.56,22697.49821
4.59,22701.62944
4.62,22705.71358
4.65,22709.78831
4.68,22713.85852
4.71,22717.94937
4.74,22722.02872
4.77,22726.11122
4.8,22730.22053
4.83,22734.31801
4.86,22738.44667
4.89,22742.64627
4.92,22746.83176
4.95,22751.04189
4.98,22755.28954
5.01,22759.52583
5.04,22763.82798
5.07,22768.20226
5.1,22772.56641
5.13,22733.36192
5.16,22737.84822
5.19,22742.32415
5.22,22746.88993
5.25,22751.51247
5.28,22756.12611
5.31,22717.23304
5.34,22721.94793
5.37,22726.6518
5.4,22731.44852
5.43,22736.27687
5.46,22741.09324
5.49,22745.93924
5.52,22750.78669
5.55,22755.62166
5.58,22760.48316
5.61,22765.34184
5.64,22770.18765
5.67,22774.96539
5.7,22779.72351
5.73,22784.47144
5.76,22789.09183
5.79,22793.69488
5.82,22798.28235
5.85,22802.56857
5.88,22806.8434
5.91,22811.12768
5.94,22815.62985
5.97,22820.12079
6.0,22824.56426
6.03,22828.76084
6.06,22789.63777
6.09,22793.67164
6.12,22797.08664
6.15,22800.49092
6.18,22804.19384
6.21,22808.76869
6.24,22770.08479
6.27,22774.3781
6.3,22778.09125
6.33,22781.79275
6.36,22785.90907
6.39,22790.70627
6.42,22795.49064
6.45,22799.85131
6.48,22803.68001
6.51,22807.4973
6.54,22811.83831
6.57,22816.69435
6.6,22821.53942
6.63,22825.82489
6.66,22829.67305
6.69,22833.51074
6.72,22837.95405
6.75,22842.75538
6.78,22847.54741
6.81,22851.61524
6.84,22855.34634
6.87,22859.06677
6.9,22863.49034
6.93,22825.13539
6.96,22829.79062
6.99,22833.5841
7.02,22837.16477
7.05,22840.73276
7.08,22845.09014
7.11,22806.60962
7.14,22811.07651
7.17,22814.52712
7.2,22817.88786
7.23,22821.23776
7.26,22825.47549
7.29,22829.711
7.32,22833.88168
7.35,22837.00842
7.38,22840.12287
7.41,22843.32942
7.44,22847.33989
7.47,22851.3396
7.5,22855.14583
7.53,22858.05237
7.56,22860.9492
7.59,22864.04793
7.62,22867.84292
7.65,22871.62762
7.68,22875.09106
7.71,22877.79705
7.74,22837.7595
7.77,22840.79047
7.8,22844.42892
7.83,22848.05536
7.86,22851.24779
7.89,22853.83225
7.92,22813.73263
7.95,22816.77583
7.98,22820.32792
8.01,22823.86883
8.04,22826.87642
8.07,22829.41904
8.1,22831.95072
8.13,22835.09091
8.16,22838.63704
8.19,22842.17346
8.22,22845.10025
8.25,22847.70378
8.28,22850.29741
8.31,22853.6702
8.34,22857.3439
8.37,22861.00642
8.4,22864.00974
8.43,22866.81856
8.46,22869.61566
8.49,22873.39339
8.52,22834.8854
8.55,22838.84077
8.58,22842.10456
8.61,22845.28146
8.64,22848.44684
8.67,22851.32074
8.7,22811.76694
8.73,22814.62288
8.76,22817.72904
8.79,22820.82349
8.82,22823.8847
8.85,22826.68002
8.88,22829.464
8.91,22832.21965
8.94,22834.85248
8.97,22837.47501
9.0,22840.07171
9.03,22842.59877
9.06,22845.1157
9.09,22847.63121
9.12,22850.16537
9.15,22852.68866
9.18,22855.22128
9.21,22857.78703
9.24,22818.12334
9.27,22820.73385
9.3,22823.4251
9.33,22826.10398
9.36,22828.82476
9.39,22831.59959
9.42,22792.20583
9.45,22795.05114
9.48,22797.96454
9.51,22800.86704
9.54,22803.83217
9.57,22806.84129
9.6,22809.83972
9.63,22812.93458
9.66,22816.08084
9.69,22819.21703
9.72,22822.41179
9.75,22825.62753
9.78,22828.83262
9.81,22832.09622
9.84,22835.3728
9.87,22838.6381
9.9,22841.92687
9.93,22803.23134
9.96,22806.51637
9.99,22809.83091
10.02,22813.14088
10.05,22816.43893
10.08,22819.68712
10.11,22781.00085
10.14,22784.23414
10.17,22786.80441
10.2,22789.35873
10.23,22791.96439
10.26,22795.64285
10.29,22799.31006
10.32,22802.85334
10.35,22805.51246
10.38,22808.1604
10.41,22810.95232
10.44,22814.45729
10.47,22817.95179
10.5,22821.15646
10.53,22823.44907
10.56,22825.73094
10.59,22786.46132
10.62,22789.45593
10.65,22792.43977
10.68,22794.95125
10.71,22796.62452
10.74,22798.28691
10.77,22758.52166
10.8,22760.8358
10.83,22763.13829
10.86,22764.81991
10.89,22765.82785
10.92,22766.82444
10.95,22768.18966
10.98,22769.86697
11.01,22771.53312
11.04,22772.4854
11.07,22772.95902
11.1,22773.42164
11.13,22774.44616
11.16,22775.75178
11.19,22777.04705
11.22,22736.09211
11.25,22736.40732
11.28,22736.71174
11.31,22737.88376
11.34,22739.28822
11.37,22740.68181
11.4,22700.05267
11.43,22700.80257
11.46,22701.54106
11.49,22702.23595
11.52,22702.91703
11.55,22703.58635
11.58,22704.28658
11.61,22704.97704
11.64,22705.65673
11.67,22706.33736
11.7,22707.00667
11.73,22707.67687
11.76,22708.46059
11.79,22709.2328
11.82,22710.00762
11.85,22669.5233
11.88,22670.36171
11.91,22671.22594
11.94,22672.21518
11.97,22673.19382
12.0,22674.19205
12.03,22634.00015
12.06,22635.07004
12.09,22636.18894
12.12,22637.4192
12.15,22638.63889
12.18,22639.88627
12.21,22641.1843
12.24,22642.47136
12.27,22643.81711
12.3,22645.23776
12.33,22646.64661
12.36,22648.07385
12.39,22649.51782
12.42,22609.82204
12.45,22611.28151
12.48,22612.74993
12.51,22614.20717
12.54,22615.6036
12.57,22616.95927
12.6,22577.23742
12.63,22578.51396
12.66,22579.74911
12.69,22580.97397
12.72,22581.9639
12.75,22582.87092
12.78,22583.76715
12.81,22584.34637
12.84,22584.84638
12.87,22585.33536
12.9,22586.65587
12.93,22588.08361
12.96,22589.49965
12.99,22589.97265
13.02,22549.45096
13.05,22549.8508
13.08,22551.19265
13.11,22552.52377
13.14,22553.78457
13.17,22513.23505
13.2,22513.55592
13.23,22513.98289
13.26,22515.24783
13.29,22516.50125
13.32,22517.56418
13.35,22517.80504
13.38,22518.03496
13.41,22518.48725
13.44,22519.65466
13.47,22520.81156
13.5,22521.66028
13.53,22521.81673
13.56,22481.22458
13.59,22481.721
13.62,22482.82018
13.65,22483.90869
13.68,22484.83065
13.71,22485.5329
13.74,22445.54743
13.77,22446.10222
13.8,22446.50343
13.83,22446.89302
13.86,22446.87872
13.89,22446.52773
13.92,22446.16558
13.95,22446.48604
13.98,22447.24204
14.01,22447.98709
14.04,22448.18541
14.07,22448.10665
14.1,22407.46431
14.13,22408.16319
14.16,22409.14302
14.19,22410.11223
14.22,22410.37374
14.25,22410.44031
14.28,22370.00434
14.31,22370.89472
14.34,22371.91997
14.37,22372.93402
14.4,22373.08661
14.43,22373.14715
14.46,22373.19615
14.49,22374.17623
14.52,22375.17095
14.55,22376.1204
14.58,22376.10182
14.61,22335.69343
14.64,22335.75016
14.67,22336.62357
14.7,22337.48576
14.73,22338.17648
14.76,22337.98886
14.79,22297.47306
14.82,22297.46685
14.85,22298.14487
14.88,22298.81207
14.91,22299.1793
14.94,22298.78532
14.97,22298.38055
15.0,22298.26125
15.03,22298.70923
15.06,22299.14633
15.09,22299.16319
15.12,22258.35197
15.15,22257.74406
15.18,22257.5189
15.21,22257.74385
15.24,22257.95751
15.27,22257.62042
15.3,22216.63586
15.33,22215.79264
15.36,22215.45883
15.39,22215.48604
15.42,22215.5022
15.45,22214.85274
15.48,22213.8301
15.51,22212.7964
15.54,22212.39566
15.57,22212.25289
15.6,22212.09936
15.63,22171.15524
15.66,22170.01048
15.69,22168.85488
15.72,22168.48177
15.75,22168.2639
15.78,22168.03511
15.81,22126.98679
15.84,22125.79962
15.87,22124.60143
15.9,22124.35002
15.93,22124.13946
15.96,22123.90882
15.99,22122.81222
16.02,22121.70461
16.05,22120.66151
16.08,22120.59562
16.11,22080.65346
16.14,22080.46921
16.17,22079.57441
16.2,22078.66832
16.23,22077.97421
16.26,22078.20034
16.29,22038.61163
16.32,22038.64652
16.35,22038.14295
16.38,22037.62848
16.41,22037.00595
16.44,22036.16118
16.47,22035.30557
16.5,22034.30396
16.53,22033.06765
16.56,22031.82061
16.59,21991.27519
16.62,21990.96207
16.65,21990.6382
16.68,21989.81821
16.71,21988.49988
16.74,21987.17025
16.77,21946.71904
16.8,21946.32272
16.83,21945.91511
16.86,21944.91071
16.89,21943.5373
16.92,21942.15265
16.95,21941.38005
16.98,21940.88686
17.01,21940.38255
17.04,21899.60262
17.07,21898.1199
17.1,21896.62648
17.13,21895.87532
17.16,21895.29671
17.19,21894.70735
17.22,21853.79979
17.25,21852.24888
17.28,21850.68713
17.31,21849.96061
17.34,21849.29081
17.37,21848.60984
17.4,21846.97149
17.43,21845.31048
17.46,21843.6838
17.49,21803.55067
17.52,21802.80977
17.55,21801.95259
17.58,21800.23191
17.61,21798.49996
17.64,21796.91652
17.67,21756.76475
17.7,21755.94332
17.73,21754.89399
17.76,21753.11501
17.79,21751.32477
17.82,21749.79321
17.85,21748.89915
17.88,21747.99432
17.91,21746.73859
17.94,21705.6134
17.97,21703.72679
18.0,21702.21675
18.03,21701.24075
18.06,21700.25409
18.09,21698.81185
18.12,21657.694
18.15,21655.75302
18.18,21654.28897
18.21,21653.23345
18.24,21652.16652
18.27,21650.53819
18.3,21648.53082
18.33,21646.51221
18.36,21605.98571
18.39,21604.86139
18.42,21603.7259
18.45,21601.8916
18.48,21599.78064
18.51,21597.65883
18.54,21557.21299
18.57,21555.99979
18.6,21554.77591
18.63,21552.74447
18.66,21550.55531
18.69,21548.35525
18.72,21546.97814
18.75,21545.67714
18.78,21544.36519
18.81,21503.16821
18.84,21500.88037
18.87,21498.60725
18.9,21497.22286
18.93,21495.82764
18.96,21455.44853
18.99,21453.12172
19.02,21450.78368
19.05,21448.57062
19.08,21447.11255
19.11,21445.64322
19.14,21443.96326
19.17,21441.53036
19.2,21400.27794
19.23,21398.08742
19.26,21396.56117
19.29,21395.02392
19.32,21393.15881
19.35,21390.65216
19.38,21349.38802
19.41,21347.23257
19.44,21345.61936
19.47,21343.9953
19.5,21341.93085
19.53,21339.34634
19.56,21336.75098
19.59,21334.62753
19.62,21294.27683
19.65,21292.58995
19.68,21290.33535
19.71,21287.6671
19.74,21284.98755
19.77,21282.88942
19.8,21242.50799
19.83,21240.72888
19.86,21238.27697
19.89,21235.53427
19.92,21232.78047
19.95,21230.71089
19.98,21228.84428
20.01,21188.43546
20.04,21185.78637
20.07,21182.96348
20.1,21180.12976
20.13,21178.09475
20.16,21176.15181
20.19,21135.72805
20.22,21132.88534
20.25,21129.98356
20.28,21127.07985
20.31,21125.05174
20.34,21123.01288
20.37,21120.89634
20.4,21079.50872
20.43,21076.51848
20.46,21073.63923
20.49,21071.54563
20.52,21069.44091
20.55,21067.14378
20.58,21025.74763
20.61,21022.68715
20.64,21019.84616
20.67,21017.6643
20.7,21015.4712
20.73,21012.9762
20.76,21009.84418
20.79,20968.4364
20.82,20965.64034
20.85,20963.40273
20.88,20961.1542
20.91,20958.49021
20.94,20955.30145
20.97,20913.89849
21.0,20911.13869
21.03,20908.80496
21.06,20906.46047
21.09,20903.59748
21.12,20900.33083
21.15,20897.05313
21.18,20856.1899
21.21,20853.79164
21.24,20851.38219
21.27,20848.33239
21.3,20844.9845
21.33,20841.62548
21.36,20800.85878
21.39,20798.38784
21.42,20795.90571
21.45,20792.65493
21.48,20789.21494
21.51,20785.76404
21.54,20783.07149
21.57,20742.48306
21.6,20739.89227
21.63,20736.43709
21.66,20732.90965
21.69,20729.37137
21.72,20688.76798
21.75,20686.11569
21.78,20683.40031
21.81,20679.79953
21.84,20676.18804
21.87,20672.67128
21.9,20669.93615
21.93,20629.31484
21.96,20626.40277
21.99,20622.72562
22.02,20619.03737
22.05,20615.55438
22.08,20612.74089
22.11,20572.10244
22.14,20568.99655
22.17,20565.23462
22.2,20561.46138
22.23,20558.01192
22.26,20555.13396
22.29,20514.49277
22.32,20511.21514
22.35,20507.40427
22.38,20503.58246
22.41,20500.18015
22.44,20497.21819
22.47,20456.55466
22.5,20453.06515
22.53,20449.14232
22.56,20445.20868
22.59,20441.83494
22.62,20438.81321
22.65,20398.15102
22.68,20394.49649
22.71,20390.52985
22.74,20386.55197
22.77,20383.2203
22.8,20380.11447
22.83,20339.42964
22.86,20335.58365
22.89,20331.54084
22.92,20327.48695
22.95,20324.17682
22.98,20283.46293
23.01,20280.26512
23.04,20276.20633
23.07,20272.06308
23.1,20267.90896
23.13,20264.61733
23.16,20223.87538
23.19,20220.54838
23.22,20216.3536
23.25,20212.148
23.28,20208.02395
23.31,20204.67009
23.34,20163.91185
23.37,20160.39433
23.4,20156.11315
23.43,20151.8209
23.46,20147.72651
23.49,20144.32194
23.52,20103.57407
23.55,20099.89175
23.58,20095.55278
23.61,20091.20253
23.64,20087.14357
23.67,20046.34525
23.7,20042.827
23.73,20038.92867
23.76,20034.49934
23.79,20030.05915
23.82,20026.02976
23.85,19985.23157
23.88,19981.65223
23.91,19977.57062
23.94,19973.05827
23.97,19968.53512
24.0,19964.5289
24.03,19923.70408
24.06,19920.03656
24.09,19915.77516
24.12,19911.20704
24.15,19906.62767
24.18,19865.55496
24.21,19861.82493
24.24,19858.08373
24.27,19853.61871
24.3,19848.94996
24.33,19844.27004
24.36,19803.28954
24.39,19799.48756
24.42,19795.67462
24.45,19791.04538
24.48,19786.32649
24.51,19781.59675
24.54,19740.70633
24.57,19736.82195
24.6,19732.895
24.63,19728.0921
24.66,19723.27823
24.69,19681.60723
24.72,19677.66964
24.75,19673.72118
24.78,19669.61522
24.81,19664.72659
24.84,19622.94559
24.87,19618.24344
24.9,19614.22745
24.93,19610.20033
24.96,19605.91312
24.99,19564.15572
25.02,19559.22769
25.05,19554.58576
25.08,19550.49514
25.11,19546.39335
25.14,19541.90618
25.17,19500.09566
25.2,19495.05311
25.23,19490.42381
25.26,19486.26153
25.29,19482.08835
