Time(s),Thrust(N)
0,0
0.03,45722.33433
0.06,45699.87712
0.09,45677.42722
0.12,45857.01284
0.15,45834.20393
0.18,45811.40256
0.21,45788.60872
0.24,45765.68951
0.27,45742.68035
0.3,45719.67887
0.33,45696.68507
0.36,45673.53263
0.39,45650.3619
0.42,45627.19896
0.45,45805.65177
0.48,45782.24254
0.51,45758.84124
0.54,45735.44789
0.57,45725.13614
0.6,45688.5024
0.63,45665.00756
0.66,45641.52074
0.69,45617.97229
0.72,45594.40545
0.75,45570.84668
0.78,45547.29539
0.81,45580.57655
0.84,45603.2555
0.87,45579.42568
0.9,45658.43415
0.93,45634.36431
0.96,45610.31495
0.99,45586.28613
1.02,45562.258
1.05,45546.26685
1.08,45557.70832
1.11,45490.48809
1.14,45466.61988
1.17,45442.76324
1.2,45418.91941
1.23,45395.08895
1.26,45376.02381
1.29,45439.94169
1.32,45503.88943
1.35,45510.41554
1.38,45486.06383
1.41,45461.73617
1.44,45437.43263
1.47,45413.17013
1.5,45388.92343
1.53,45355.03514
1.56,45367.12019
1.59,45375.54956
1.62,45292.74069
1.65,45268.81848
1.68,45245.09661
1.71,45331.39729
1.74,45307.57962
1.77,45235.83307
1.8,45328.03711
1.83,45341.35347
1.86,45315.83765
1.89,45290.67203
1.92,45266.67647
1.95,45242.97716
1.98,45219.28905
2.01,45163.08759
2.04,45179.59537
2.07,45187.64784
2.1,45120.86122
2.13,45096.58844
2.16,45073.25366
2.19,45159.41883
2.22,45135.59906
2.25,45123.23127
2.28,45135.22375
2.31,45147.20926
2.34,45155.45224
2.37,45118.67198
2.4,45094.92331
2.43,45071.18666
2.46,45047.22625
2.49,45022.05469
2.52,44984.75357
2.55,44994.96332
2.58,45003.25852
2.61,44924.22671
2.64,45010.86988
2.67,44987.00977
2.7,44962.1509
2.73,45045.74674
2.76,44940.41724
2.79,44951.28906
2.82,44963.53367
2.85,44969.74792
2.88,44922.39683
2.91,44898.28631
2.94,44873.08042
2.97,44847.88148
3.0,44822.69268
3.03,44800.99543
3.06,44809.66258
3.09,44818.32227
3.12,44826.97322
3.15,44812.9233
3.18,44787.59718
3.21,44871.32866
3.24,44845.64965
3.27,44755.51309
3.3,44766.93144
3.33,44777.30463
3.36,44781.54634
3.39,44723.43772
3.42,44698.1961
3.45,44672.96854
3.48,44648.51866
3.51,44624.72992
3.54,44614.49254
3.57,44622.70737
3.6,44706.7751
3.63,44636.5241
3.66,44612.27124
3.69,44696.15499
3.72,44671.84667
3.75,44647.55324
3.78,44569.13642
3.81,44579.38024
3.84,44585.78276
3.87,44588.72855
3.9,44522.43661
3.93,44497.97629
3.96,44474.13274
3.99,44450.29716
4.02,44416.33894
4.05,44424.4325
4.08,44485.00312
4.11,44522.77092
4.14,44436.06616
4.17,44411.21898
4.2,44495.22674
4.23,44470.02032
4.26,44444.93268
4.29,44376.04229
4.32,44385.56511
4.35,44390.80841
4.38,44346.33386
4.41,44322.09112
4.44,44297.86145
4.47,44273.63952
4.5,44249.46172
4.53,44225.17983
4.56,44232.30392
4.59,44301.415
4.62,44339.53317
4.65,44238.5663
4.68,44323.09663
4.71,44298.34225
4.74,44273.50509
4.77,44248.67916
4.8,44188.58483
4.83,44197.54185
4.86,44200.99034
4.89,44149.78386
4.92,44125.22119
4.95,44100.47827
4.98,44075.69989
5.01,44050.93285
5.04,44033.52163
5.07,44039.48673
5.1,44114.23515
5.13,44051.3909
5.16,44035.85886
5.19,44119.01101
5.22,44093.30363
5.25,44067.61302
5.28,43980.6306
5.31,43988.1863
5.34,43994.81605
5.37,43996.91827
5.4,43939.07569
5.43,43913.42727
5.46,43887.79084
5.49,43862.1618
5.52,43836.41265
5.55,43824.40245
5.58,43873.37378
5.61,43908.67255
5.64,43838.90066
5.67,43816.73034
5.7,43898.84955
5.73,43872.48982
5.76,43846.12043
5.79,43765.342
5.82,43772.00798
5.85,43776.81077
5.88,43778.19513
5.91,43715.28539
5.94,43689.34504
5.97,43663.46502
6.0,43637.5984
6.03,43598.95044
6.06,43604.97015
6.09,43609.5379
6.12,43693.32805
6.15,43617.63103
6.18,43591.7964
6.21,43673.74853
6.24,43647.6674
6.27,43621.60219
6.3,43546.82885
6.33,43553.57484
6.36,43557.75487
6.39,43518.60129
6.42,43493.30955
6.45,43468.05714
6.48,43442.81465
6.51,43417.60375
6.54,43385.02473
6.57,43390.9487
6.6,43396.00365
6.63,43484.09529
6.66,43401.47908
6.69,43376.57265
6.72,43351.67993
6.75,43433.83581
6.78,43408.80691
6.81,43339.45542
6.84,43346.73073
6.87,43351.04671
6.9,43309.7337
6.93,43285.31437
6.96,43260.90645
6.99,43236.60953
7.02,43212.32329
7.05,43184.5797
7.08,43190.51909
7.11,43196.1106
7.14,43115.93312
7.17,43199.37948
7.2,43175.01035
7.23,43150.61453
7.26,43232.75435
7.29,43135.19143
7.32,43142.35555
7.35,43149.44651
7.38,43153.05431
7.41,43109.2701
7.44,43084.48952
7.47,43059.66834
7.5,43034.85761
7.53,43010.08046
7.56,42985.20424
7.59,42990.37999
7.62,42995.49909
7.65,42912.78667
7.68,42888.19854
7.71,42970.29627
7.74,42945.37745
7.77,42924.34326
7.8,42929.77718
7.83,42935.19998
7.86,42940.61288
7.89,42922.53521
7.92,42898.32123
7.95,42874.11898
7.98,42849.92782
8.01,42824.70173
8.04,42768.16942
8.07,42775.47722
8.1,42779.67658
8.13,42785.22534
8.16,42701.97963
8.19,42678.42328
8.22,42654.48589
8.25,42735.63777
8.28,42716.60648
8.31,42654.41123
8.34,42692.46348
8.37,42736.6953
8.4,42718.51413
8.43,42694.91274
8.46,42670.36743
8.49,42645.46626
8.52,42620.57574
8.55,42565.82175
8.58,42574.40254
8.61,42580.01166
8.64,42525.49207
8.67,42502.03096
8.7,42477.35986
8.73,42452.69831
8.76,42428.04629
8.79,42410.63331
8.82,42455.62304
8.85,42493.82376
8.88,42532.02549
8.91,42517.97739
8.94,42492.95097
8.97,42467.93663
9.0,42442.93361
9.03,42418.84179
9.06,42365.61577
9.09,42373.78098
9.12,42378.96342
9.15,42323.09117
9.18,42298.14255
9.21,42273.20407
9.24,42248.39622
9.27,42224.72896
9.3,42207.73495
9.33,42214.63544
9.36,42221.10754
9.39,42226.5217
9.42,42207.01131
9.45,42181.83127
9.48,42260.40005
9.51,42236.28891
9.54,42150.19527
9.57,42157.95821
9.6,42164.50185
9.63,42166.02455
9.66,42112.4055
9.69,42087.08628
9.72,42062.8464
9.75,42038.80693
9.78,41988.1803
9.81,41996.1086
9.84,42000.1987
9.87,42004.27847
9.9,41914.75545
9.93,41889.73498
9.96,41969.14708
9.99,41944.89061
10.02,41928.22549
10.05,41934.56293
10.08,41940.05843
10.11,41945.54369
10.14,41921.2906
10.17,41896.50165
10.2,41872.29998
10.23,41848.10866
10.26,41823.92771
10.29,41770.07944
10.32,41776.45239
10.35,41779.95461
10.38,41722.67183
10.41,41698.6844
10.44,41674.80709
10.47,41650.93912
10.5,41626.95554
10.53,41612.26371
10.56,41648.38503
10.59,41684.50396
10.62,41721.03527
10.65,41707.15946
10.68,41683.35981
10.71,41659.57077
10.74,41635.29202
10.77,41610.4046
10.8,41553.72382
10.83,41560.66309
10.86,41565.36962
10.89,41513.85704
10.92,41490.7776
10.95,41467.70689
10.98,41443.85433
11.01,41419.79443
11.04,41397.61578
11.07,41403.80992
11.1,41409.64578
11.13,41415.45379
11.16,41400.17523
11.19,41375.74008
11.22,41351.62323
11.25,41428.41471
11.28,41336.77782
11.31,41343.8674
11.34,41350.68483
11.37,41353.34136
11.4,41306.21591
11.43,41281.70481
11.46,41257.11283
11.49,41232.531
11.52,41173.2979
11.55,41180.74351
11.58,41185.44165
11.61,41189.88862
11.64,41109.74555
11.67,41085.27938
11.7,41060.83708
11.73,41036.40423
11.76,41112.91347
11.79,41043.69566
11.82,41080.59319
11.85,41128.48596
11.88,41114.84811
11.91,41090.4924
11.94,41066.14751
11.97,41041.81293
12.0,41017.52876
12.03,40953.21432
12.06,40960.75442
12.09,40965.957
12.12,40921.33655
12.15,40897.58828
12.18,40873.849
12.21,40850.11927
12.24,40826.4995
12.27,40794.35794
12.3,40801.50667
12.33,40808.10211
12.36,40896.9303
12.39,40809.30896
12.42,40785.94011
12.45,40762.58087
12.48,40838.72454
12.51,40815.35393
12.54,40745.35731
12.57,40753.26654
12.6,40759.69304
12.63,40722.48974
12.66,40699.46108
12.69,40676.44907
12.72,40653.51133
12.75,40630.58222
12.78,40592.15067
12.81,40599.97242
12.84,40606.81
12.87,40539.26168
12.9,40516.50827
12.93,40493.75415
12.96,40470.99407
12.99,40448.2422
13.02,40453.62012
13.05,40491.80682
13.08,40529.58383
13.11,40552.02508
13.14,40528.24682
13.17,40505.49838
13.2,40483.27336
13.23,40461.05698
13.26,40383.96303
13.29,40392.18686
13.32,40399.40687
13.35,40404.45092
13.38,40345.39834
13.41,40323.13274
13.44,40300.95195
13.47,40278.77928
13.5,40256.51017
13.53,40238.74106
13.56,40245.07924
13.59,40251.40679
13.62,40162.00527
13.65,40237.45717
13.68,40214.64928
13.71,40191.8503
13.74,40266.30727
13.77,40178.13211
13.8,40184.57849
13.83,40191.01453
13.86,40168.36909
13.89,40144.78785
13.92,40121.21603
13.95,40097.65357
13.98,40073.12219
14.01,40013.34119
14.04,40019.61433
14.07,40024.10688
14.1,39973.04925
14.13,39948.88862
14.16,39924.73738
14.19,39900.59582
14.22,39875.19815
14.25,39843.19592
14.28,39848.27624
14.31,39907.88427
14.34,39944.23112
14.37,39846.21729
14.4,39918.54463
14.43,39893.83791
14.46,39867.94476
14.49,39842.06307
14.52,39771.5366
14.55,39777.07107
14.58,39782.21722
14.61,39742.06824
14.64,39717.82793
14.67,39693.35172
14.7,39668.28504
14.73,39643.22874
14.76,39601.15725
14.79,39606.76118
14.82,39611.42015
14.85,39543.11411
14.88,39518.11501
14.91,39493.16141
14.94,39468.25191
14.97,39443.35245
15.0,39437.53872
15.03,39473.77133
15.06,39510.02372
15.09,39535.81671
15.12,39510.84165
15.15,39485.98358
15.18,39461.17702
15.21,39436.38085
15.24,39351.57836
15.27,39358.02666
15.3,39364.28826
15.33,39367.87048
15.36,39313.2036
15.39,39288.85961
15.42,39264.54071
15.45,39240.23166
15.48,39215.93727
15.51,39189.29296
15.54,39195.03572
15.57,39200.6375
15.6,39119.65549
15.63,39095.84571
15.66,39072.04534
15.69,39143.70719
15.72,39119.82782
15.75,39045.76934
15.78,39125.35976
15.81,39132.1553
15.84,39120.00633
15.87,39096.45423
15.9,39072.91165
15.93,39049.37835
15.96,39025.89153
15.99,38955.34713
16.02,38962.95168
16.05,38969.15039
16.08,38932.3687
16.11,38909.09642
16.14,38885.83327
16.17,38862.57916
16.2,38839.29172
16.23,38815.9828
16.26,38801.32733
16.29,38807.64136
16.32,38813.84645
16.35,38722.6663
16.38,38699.28452
16.41,38770.52369
16.44,38746.77321
16.47,38725.18476
16.5,38731.80307
16.53,38738.4106
16.56,38744.60703
16.59,38720.91429
16.62,38696.61812
16.65,38672.3321
16.68,38649.21456
16.71,38626.21544
16.74,38566.23351
16.77,38574.14196
16.8,38579.20304
16.83,38531.85333
16.86,38507.67083
16.89,38483.58451
16.92,38460.68757
16.95,38437.79958
16.98,38401.82596
17.01,38409.15434
17.04,38414.85879
17.07,38343.65165
17.1,38319.55504
17.13,38295.73507
17.16,38366.43331
17.19,38343.52294
17.22,38330.52409
17.25,38337.6754
17.28,38343.89924
17.31,38349.33612
17.34,38318.0241
17.37,38294.28856
17.4,38271.3775
17.43,38248.47531
17.46,38225.58213
17.49,38172.53587
17.52,38179.06811
17.55,38183.95017
17.58,38129.83618
17.61,38106.36423
17.64,38083.56013
17.67,38060.76479
17.7,38037.97839
17.73,38008.00767
17.76,38014.85764
17.79,38021.46224
17.82,37945.31663
17.85,37921.92484
17.88,37898.40503
17.91,37967.46137
17.94,37943.86355
17.97,37856.87987
18.0,37940.27083
18.03,37946.04749
18.06,37938.41572
18.09,37914.96296
18.12,37891.95652
18.15,37868.9592
18.18,37845.97084
18.21,37822.18757
18.24,37773.0825
18.27,37779.35612
18.3,37784.2777
18.33,37727.37632
18.36,37704.82918
18.39,37682.29063
