Time(s),Thrust(N)
0,0
0.03,264330.69284
0.06,264024.22552
0.09,260656.75477
0.12,260269.51406
0.15,259923.73328
0.18,259267.81007
0.21,256533.27451
0.24,256017.47145
0.27,255790.10379
0.3,255565.34491
0.33,252198.13337
0.36,252015.91478
0.39,251853.1976
0.42,251326.30152
0.45,248401.96025
0.48,247956.05167
0.51,247637.6317
0.54,247278.58839
0.57,246824.25529
0.6,243878.93665
0.63,243762.43835
0.66,243651.27061
0.69,243099.55655
0.72,240047.20673
0.75,239778.80919
0.78,239537.76389
0.81,238988.97657
0.84,236546.68273
0.87,235779.32068
0.9,235598.1342
0.93,235423.55075
0.96,234789.24413
0.99,232002.20052
1.02,231824.52199
1.05,231672.25898
1.08,231043.42367
1.11,228454.54522
1.14,227992.73545
1.17,227710.25986
1.2,227437.6732
1.23,227164.42521
1.26,224182.05805
1.29,224094.10423
1.32,224012.11643
1.35,223942.88895
1.38,222285.97649
1.41,220355.03137
1.44,220124.6481
1.47,219761.32758
1.5,219349.20228
1.53,216831.00043
1.56,216409.16608
1.59,216283.06809
1.62,216154.59289
1.65,215088.51209
1.68,212869.78206
1.71,212690.27057
1.74,212542.52963
1.77,211973.29609
1.8,211345.75814
1.83,209109.42601
1.86,208855.18024
1.89,208656.7047
1.92,208456.21542
1.95,205535.02219
1.98,205405.53362
2.01,205288.10936
2.04,205180.29333
2.07,204374.09504
2.1,202054.71842
2.13,201769.10386
2.16,201535.2439
2.19,201232.53953
2.22,200930.05354
2.25,198332.74695
2.28,198166.72512
2.31,198077.92557
2.34,197987.27015
2.37,197048.72358
2.4,194844.15932
2.43,194655.19829
2.46,194506.55801
2.49,194073.27697
2.52,193611.88576
2.55,191375.61712
2.58,191081.08585
2.61,190939.08008
2.64,190795.39368
2.67,189972.97867
2.7,187847.79754
2.73,187718.43429
2.76,187604.86772
2.79,187339.3438
2.82,186609.92581
2.85,184558.83945
2.88,184282.35212
2.91,184069.04197
2.94,183846.35723
2.97,183624.31881
3.0,181034.60971
3.03,180963.63278
3.06,180896.60522
3.09,180834.92896
3.12,180364.06507
3.15,177881.50544
3.18,177665.71645
3.21,177501.50434
3.24,177223.78005
3.27,176883.24265
3.3,174927.04926
3.33,174304.83828
3.36,174194.81649
3.39,174090.10005
3.42,173986.32513
3.45,172849.11595
3.48,171159.3414
3.51,171026.72624
3.54,170913.78656
3.57,170609.6041
3.6,170082.61686
3.63,168113.90887
3.66,167803.10916
3.69,167624.13453
3.72,167459.55193
3.75,167295.12265
3.78,165562.64826
3.81,164704.63668
3.84,164653.21254
3.87,164606.89062
3.9,164567.81906
3.93,163669.14409
3.96,161683.20398
3.99,161476.95881
4.02,161313.53271
4.05,161063.66505
4.08,160814.18343
4.11,158989.03011
