Time(s),Thrust(N)
0,0
0.03,7582.88704
0.06,7477.45073
0.09,7386.79588
0.12,7310.43552
0.15,7247.81278
0.18,7254.10556
0.21,7298.60418
0.24,7324.34506
0.27,7322.43902
0.3,7324.23471
0.33,7329.62584
0.36,7338.48972
0.39,7353.03574
0.42,7377.26561
0.45,7403.51538
0.48,7430.14615
0.51,7457.16409
0.54,7484.90453
0.57,7510.0655
0.6,7536.09677
0.63,7563.82595
0.66,7592.53638
0.69,7620.91297
0.72,7649.50325
0.75,7678.49983
0.78,7707.9052
0.81,7737.72028
0.84,7767.42047
0.87,7797.15549
0.9,7826.42329
0.93,7856.05179
0.96,7885.83385
0.99,7914.7333
1.02,7943.97831
1.05,7973.64983
1.08,8003.75683
1.11,8034.54623
1.14,8066.36331
1.17,8098.2127
1.2,8130.14521
1.23,8162.07861
1.26,8194.25964
1.29,8226.12333
1.32,8257.77791
1.35,8289.71673
1.38,8321.87201
1.41,8354.36496
1.44,8387.4229
1.47,8420.75336
1.5,8454.22893
1.53,8487.49452
1.56,8520.45759
1.59,8553.5615
1.62,8586.56002
1.65,8619.52769
1.68,8652.62447
1.71,8685.8184
1.74,8719.05529
1.77,8752.41831
1.8,8785.92423
1.83,8819.58325
1.86,8853.00803
1.89,8886.50729
1.92,8920.13848
1.95,8953.8176
1.98,8987.62974
2.01,9021.54247
2.04,9055.32933
2.07,9089.19012
2.1,9123.15425
2.13,9157.218
2.16,9191.44845
2.19,9225.70483
2.22,9259.99362
2.25,9294.355
2.28,9328.7807
2.31,9363.31288
2.34,9397.87776
2.37,9432.44732
2.4,9467.09971
2.43,9501.85706
2.46,9536.78487
2.49,9571.75318
2.52,9606.79155
2.55,9641.71843
2.58,9676.65108
2.61,9711.63383
2.64,9746.69409
2.67,9781.75936
2.7,9816.91008
2.73,9852.0912
2.76,9887.36029
2.79,9922.69801
2.82,9958.10291
2.85,9993.50968
2.88,10028.82786
2.91,10064.18499
2.94,10099.5822
2.97,10135.03195
3.0,10170.52648
3.03,10206.08812
3.06,10241.62236
3.09,10277.20419
3.12,10312.86032
3.15,10348.59952
3.18,10384.32941
3.21,10420.12673
3.24,10455.99162
3.27,10491.93065
3.3,10527.89957
3.33,10563.92287
3.36,10599.99671
3.39,10636.03824
3.42,10672.15354
3.45,10708.35273
3.48,10744.63227
3.51,10780.95198
3.54,10817.30924
3.57,10853.71435
3.6,10890.18128
3.63,10926.67724
3.66,10963.21195
3.69,10999.75597
3.72,11036.32241
3.75,11072.95618
3.78,11109.67376
3.81,11146.45513
3.84,11183.26809
3.87,11220.14096
3.9,11257.06054
3.93,11294.01464
3.96,11331.00315
3.99,11368.04392
4.02,11405.07386
4.05,11442.14958
4.08,11479.28559
4.11,11516.46527
4.14,11553.7046
4.17,11590.95394
4.2,11628.23801
4.23,11665.56853
4.26,11702.93676
4.29,11740.36143
4.32,11777.8116
4.35,11815.25027
4.38,11852.73428
4.41,11890.25505
4.44,11927.83683
4.47,11965.45497
4.5,12003.13673
4.53,12040.8725
4.56,12078.64609
4.59,12116.47404
4.62,12154.33992
4.65,12192.20361
4.68,12230.07944
4.71,12267.99248
4.74,12305.95958
4.77,12343.98021
4.8,12382.03752
4.83,12420.16433
4.86,12458.33832
4.89,12496.55858
4.92,12534.82191
4.95,12573.12371
4.98,12611.41123
5.01,12649.73457
5.04,12688.10554
5.07,12726.52821
5.1,12764.98563
5.13,12803.514
5.16,12842.09139
5.19,12880.71425
5.22,12919.38025
5.25,12958.07961
5.28,12996.79586
5.31,13035.52023
5.34,13074.28841
5.37,13113.10369
5.4,13151.96579
5.43,13190.88215
5.46,13229.85987
5.49,13268.87376
5.52,13307.92849
5.55,13347.02458
5.58,13386.16228
5.61,13425.28183
5.64,13464.44526
5.67,13503.6544
5.7,13542.90872
5.73,13582.20446
5.76,13621.54793
5.79,13660.92395
5.82,13700.34641
5.85,13739.81125
5.88,13779.32619
5.91,13818.82241
5.94,13858.34994
5.97,13897.92423
6.0,13937.5432
6.03,13977.20812
6.06,14016.92811
6.09,14056.69615
6.12,14096.5048
6.15,14136.35938
6.18,14176.25633
6.21,14216.1637
6.24,14256.1034
6.27,14296.0905
6.3,14336.1209
6.33,14376.19663
6.36,14416.31892
6.39,14456.49023
6.42,14496.70256
6.45,14536.95667
6.48,14577.24989
6.51,14617.57265
6.54,14657.92331
6.57,14698.32048
6.6,14738.75848
6.63,14779.23991
6.66,14819.76736
6.69,14860.3346
6.72,14900.94099
6.75,14941.58519
6.78,14982.27083
6.81,15022.98493
6.84,15063.70993
6.87,15104.47127
6.9,15145.27623
6.93,15186.13205
6.96,15227.03163
6.99,15267.9785
7.02,15308.95992
7.05,15349.97947
7.08,15391.0434
7.11,15432.15159
7.14,15473.30008
7.17,15514.48766
7.2,15555.72021
7.23,15597.00247
7.26,15638.32046
7.29,15679.64416
7.32,15721.00909
7.35,15762.41502
7.38,15803.86485
7.41,15845.3475
7.44,15886.83275
7.47,15928.35686
7.5,15969.93041
7.53,16011.54604
7.56,16053.20664
7.59,16094.91796
7.62,16136.6708
7.65,16178.46591
7.68,16220.30193
7.71,16262.17065
7.74,16304.05747
7.77,16345.98728
7.8,16387.96042
7.83,16429.97341
7.86,16472.03125
7.89,16514.13359
7.92,16556.27883
7.95,16598.46427
7.98,16640.69171
8.01,16682.94989
8.04,16725.22126
8.07,16767.53426
8.1,16809.88651
8.13,16852.28047
8.16,16894.7183
8.19,16937.18729
8.22,16979.69797
8.25,17022.25318
8.28,17064.84768
8.31,17107.46684
8.34,17150.10366
8.37,17192.77969
8.4,17235.49796
8.43,17278.26245
8.46,17321.07535
8.49,17363.93363
8.52,17406.83521
8.55,17449.78038
8.58,17492.76894
8.61,17535.79685
8.64,17578.8661
8.67,17621.97791
8.7,17665.13318
8.73,17708.32991
8.76,17751.55954
8.79,17794.83003
8.82,17838.14708
8.85,17881.50438
8.88,17924.90476
8.91,17968.30461
8.94,18011.74585
8.97,18055.23025
9.0,18098.75727
9.03,18142.32686
9.06,18185.96935
9.09,18229.65605
9.12,18273.38269
9.15,18317.1517
9.18,18360.95833
9.21,18404.79172
9.24,18448.6686
9.27,18492.58765
9.3,18536.55035
9.33,18580.5515
9.36,18624.59512
9.39,18668.67787
9.42,18712.80287
9.45,18756.97426
9.48,18801.17361
9.51,18845.40724
9.54,18889.68451
9.57,18934.00499
9.6,18978.36931
9.63,19022.80955
9.66,19067.29437
9.69,19111.82381
9.72,19156.3967
9.75,19201.00886
9.78,19245.59086
9.81,19290.21739
9.84,19334.88916
9.87,19379.60532
9.9,19424.36676
9.93,19469.1748
9.96,19514.02521
9.99,19558.92138
10.02,19603.8589
10.05,19648.82552
10.08,19693.82736
10.11,19738.8743
10.14,19783.96461
10.17,19829.09773
10.2,19874.27843
10.23,19919.50327
10.26,19964.77363
10.29,20010.0834
10.32,20055.43242
10.35,20100.7585
10.38,20146.12915
10.41,20191.54281
10.44,20237.00084
10.47,20282.51023
10.5,20328.07694
10.53,20373.686
10.56,20419.33569
10.59,20465.03008
10.62,20510.74257
10.65,20556.48182
10.68,20602.26414
10.71,20648.09228
10.74,20693.96486
10.77,20739.8381
10.8,20785.75236
10.83,20831.70829
10.86,20877.70931
10.89,20923.76098
10.92,20969.86835
10.95,21016.02017
10.98,21062.21724
11.01,21108.45929
11.04,21154.72566
11.07,21201.0228
11.1,21247.36396
11.13,21293.74914
11.16,21340.17749
11.19,21386.65201
11.22,21433.17042
11.25,21479.7355
11.28,21526.34324
11.31,21572.98576
11.34,21619.65378
11.37,21666.36537
11.4,21713.12016
11.43,21759.91895
11.46,21806.78087
11.49,21853.69981
11.52,21900.6613
11.55,21947.66613
11.58,21994.71375
11.61,22041.76271
11.64,22088.85573
11.67,22135.99224
11.7,22183.17093
11.73,22230.38027
11.76,22277.61508
11.79,22324.89114
11.82,22372.21265
11.85,22419.57876
11.88,22466.95972
11.91,22514.37599
11.94,22561.83642
11.97,22609.34061
12.0,22656.90117
12.03,22704.53726
12.06,22752.21581
12.09,22799.93958
12.12,22847.70945
12.15,22895.47765
12.18,22943.26914
12.21,22991.10584
12.24,23038.98685
12.27,23086.91098
12.3,23134.87279
12.33,23182.87928
12.36,23230.93153
12.39,23279.02704
12.42,23327.14995
12.45,23375.30337
12.48,23423.50361
12.51,23471.74458
12.54,23520.03022
12.57,23568.35015
12.6,23616.71527
12.63,23665.12541
12.66,23713.5783
12.69,23762.0476
12.72,23810.53577
12.75,23859.06684
12.78,23907.64111
12.81,23956.26047
12.84,24004.93487
12.87,24053.654
12.9,24102.41593
12.93,24151.2225
12.96,24200.06188
12.99,24248.93056
13.02,24297.84334
13.05,24346.79945
13.08,24395.80157
13.11,24444.80222
13.14,24493.84738
13.17,24542.93662
13.2,24592.07102
13.23,24641.23413
13.26,24690.42305
13.29,24739.65643
13.32,24788.93563
13.35,24838.25859
13.38,24887.65349
13.41,24937.09305
13.44,24986.57719
13.47,25036.10649
13.5,25085.65063
13.53,25135.21816
13.56,25184.83182
13.59,25234.48963
13.62,25284.19278
13.65,25333.95621
13.68,25383.76521
13.71,25433.61783
13.74,25483.51529
13.77,25533.43987
13.8,25583.40202
13.83,25633.40953
13.86,25683.45952
13.89,25733.55263
13.92,25783.68695
13.95,25833.86395
13.98,25884.0866
14.01,25934.35251
14.04,25984.62342
14.07,26034.92953
14.1,26085.28017
14.13,26135.67641
14.16,26186.12293
14.19,26236.61961
14.22,26287.16072
14.25,26337.74648
14.28,26388.37763
14.31,26439.06121
14.34,26489.78957
14.37,26540.56353
14.4,26591.38361
14.43,26642.22891
14.46,26693.1078
14.49,26744.03277
14.52,26795.00201
14.55,26846.00631
14.58,26897.02706
14.61,26948.09254
14.64,26999.20477
14.67,27050.36123
14.7,27101.50556
14.73,27152.68811
14.76,27203.91532
14.79,27255.18575
14.82,27306.51812
14.85,27357.91009
14.88,27409.34826
14.91,27460.83153
14.94,27512.34732
14.97,27563.84986
15.0,27615.39826
15.03,27666.98992
15.06,27718.6266
15.09,27770.28938
15.12,27821.9927
15.15,27873.7417
15.18,27925.53485
15.21,27977.36113
15.24,28029.21877
15.27,28081.12008
15.3,28133.06734
15.33,28185.0563
15.36,28237.07564
15.39,28289.14104
15.42,28341.25089
15.45,28393.40752
15.48,28445.57161
15.51,28497.77515
15.54,28550.02328
15.57,28602.31784
15.6,28654.6743
15.63,28707.09053
15.66,28759.55201
15.69,28812.05892
15.72,28864.59469
15.75,28917.13531
15.78,28969.72183
15.81,29022.35391
15.84,29075.02941
15.87,29127.76931
15.9,29180.55389
15.93,29233.38352
15.96,29286.25905
15.99,29339.15908
16.02,29392.09874
16.05,29445.08296
16.08,29498.11138
16.11,29551.20091
16.14,29604.35348
16.17,29657.54934
16.2,29710.79187
16.23,29764.06309
16.26,29817.32504
16.29,29870.63197
16.32,29923.98365
16.35,29977.38151
16.38,30030.84876
16.41,30084.35953
16.44,30137.91698
16.47,30191.51953
16.5,30245.13933
16.53,30298.79593
16.56,30352.49774
16.59,30406.24545
16.62,30460.04702
16.65,30513.90028
16.68,30567.79987
16.71,30621.74518
16.74,30675.71688
16.77,30729.69614
16.8,30783.72052
16.83,30837.7909
16.86,30891.90487
16.89,30946.05413
16.92,31000.25013
16.95,31054.48979
16.98,31108.77492
17.01,31163.11509
17.04,31217.50216
17.07,31271.9342
17.1,31326.4119
17.13,31380.87336
17.16,31435.35742
17.19,31489.8859
17.22,31544.45958
17.25,31599.07395
17.28,31653.7293
17.31,31708.42963
17.34,31763.17585
17.37,31817.95669
17.4,31872.76602
17.43,31927.61976
17.46,31982.51861
17.49,32037.4554
17.52,32092.4068
17.55,32147.40438
17.58,32202.44742
17.61,32257.53206
17.64,32312.60734
17.67,32367.72698
17.7,32422.89212
17.73,32478.10269
17.76,32533.34105
17.79,32588.62473
17.82,32643.95433
17.85,32699.3279
17.88,32754.70321
17.91,32810.11177
17.94,32865.56601
17.97,32921.06477
18.0,32976.58803
18.03,33032.14867
18.06,33087.75314
18.09,33143.40307
18.12,33199.08913
18.15,33254.81287
18.18,33310.58089
18.21,33366.39345
18.24,33422.24964
18.27,33478.1497
18.3,33534.0936
18.33,33590.08361
18.36,33646.08552
18.39,33702.07002
18.42,33758.0997
18.45,33814.17343
18.48,33870.29302
18.51,33926.45729
18.54,33982.66563
18.57,34038.92063
18.6,34095.22555
18.63,34151.59876
18.66,34208.01765
18.69,34264.48103
18.72,34320.98163
18.75,34377.45894
18.78,34433.98148
18.81,34490.55008
18.84,34547.16339
18.87,34603.83047
18.9,34660.54283
18.93,34717.29996
18.96,34774.10221
18.99,34830.88655
19.02,34887.71585
19.05,34944.59024
19.08,35001.50886
19.11,35058.49304
19.14,35115.52357
19.17,35172.59835
19.2,35229.71876
19.23,35286.80559
19.26,35343.92937
19.29,35401.09714
19.32,35458.3101
19.35,35515.6002
19.38,35572.93936
19.41,35630.32349
19.44,35687.75297
19.47,35745.21202
19.5,35802.71378
19.53,35860.25957
19.56,35917.85153
19.59,35975.49409
19.62,36033.18202
19.65,36090.91592
19.68,36148.69494
19.71,36206.46531
19.74,36264.269
19.77,36322.11743
19.8,36380.01148
19.83,36437.98798
19.86,36496.01889
19.89,36554.0953
19.92,36612.21592
19.95,36670.32201
19.98,36728.46006
20.01,36786.64338
20.04,36844.87146
20.07,36903.16095
20.1,36961.49999
20.13,37019.88301
20.16,37078.31095
20.19,37136.72745
20.22,37195.1788
20.25,37253.67534
20.28,37312.21621
20.31,37370.85647
20.34,37429.54773
20.37,37488.28381
20.4,37547.06548
20.43,37605.75528
20.46,37664.47795
20.49,37723.24647
20.52,37782.05958
20.55,37840.92218
20.58,37899.82928
20.61,37958.78153
20.64,38017.78037
20.67,38076.84997
20.7,38135.9654
20.73,38195.12571
20.76,38254.32499
20.79,38313.50619
20.82,38372.73241
20.85,38432.00442
20.88,38491.31601
20.91,38550.65046
20.94,38610.03052
20.97,38669.45484
21.0,38728.91867
21.03,38788.41004
21.06,38847.94735
21.09,38907.52878
21.12,38967.1562
21.15,39026.83272
21.18,39086.55335
21.21,39146.3187
21.24,39206.09472
21.27,39265.86598
21.3,39325.68203
21.33,39385.54216
21.36,39445.44585
21.39,39505.39184
21.42,39565.38169
21.45,39625.41721
21.48,39685.48238
21.51,39745.58236
21.54,39805.72763
21.57,39865.91786
21.6,39926.1366
21.63,39986.3935
21.66,40046.69535
21.69,40107.04224
21.72,40167.4545
21.75,40227.91611
21.78,40288.42244
21.81,40348.97394
21.84,40409.47555
21.87,40470.01993
21.9,40530.60949
21.93,40591.23874
21.96,40651.88556
21.99,40712.57695
22.02,40773.31271
22.05,40834.08529
22.08,40894.87986
22.11,40955.71885
22.14,41016.60161
22.17,41077.52618
22.2,41138.49158
22.23,41199.50066
22.26,41260.55488
22.29,41321.67217
22.32,41382.84939
22.35,41444.07003
22.38,41505.33514
22.41,41566.58835
22.44,41627.86287
22.47,41689.18255
22.5,41750.54679
22.53,41811.94398
22.56,41873.38388
22.59,41934.86802
22.62,41996.39638
22.65,42057.96
22.68,42119.56862
22.71,42181.22208
22.74,42242.90816
22.77,42304.60675
22.8,42366.3494
22.83,42428.137
22.86,42489.94896
22.89,42551.7823
22.92,42613.66089
22.95,42675.5829
22.98,42737.55489
23.01,42799.57416
23.04,42861.6377
23.07,42923.74519
23.1,42985.87877
23.13,43048.05446
23.16,43110.27311
23.19,43172.53119
23.22,43234.75183
23.25,43297.01612
23.28,43359.32448
23.31,43421.6668
23.34,43484.02885
23.37,43546.43368
23.4,43608.88339
23.43,43671.37868
23.46,43733.91877
23.49,43796.50281
23.52,43859.13102
23.55,43921.77959
23.58,43984.46362
23.61,44047.19183
23.64,44109.96458
23.67,44172.75301
23.7,44235.58561
23.73,44298.46211
23.76,44361.37522
23.79,44424.30989
23.82,44487.28866
23.85,44550.31141
23.88,44613.356
23.91,44676.42196
23.94,44739.53112
23.97,44802.68381
24.0,44865.84527
24.03,44929.03798
24.06,44992.27392
24.09,45055.55337
24.12,45118.87713
24.15,45182.24397
24.18,45245.65429
24.21,45309.10626
24.24,45372.5957
24.27,45436.1287
24.3,45499.70474
24.33,45563.28598
24.36,45626.87716
24.39,45690.5123
24.42,45754.19109
24.45,45817.87438
24.48,45881.59289
24.51,45945.3548
