Time(s),Thrust(N)
0,0
0.03,118982.5809
0.06,116961.58417
0.09,115605.3791
0.12,115355.43489
0.15,114685.79507
0.18,114153.57194
0.21,113820.9277
0.24,113557.01771
0.27,113311.30084
0.3,113131.30929
0.33,112999.91792
0.36,112893.24871
0.39,112794.0537
0.42,112706.07709
0.45,112622.44489
0.48,112541.9396
0.51,112462.22298
0.54,112389.55066
0.57,112275.73327
0.6,112106.56309
0.63,111750.12107
0.66,111707.24979
0.69,111658.16413
0.72,111619.55319
0.75,111550.81948
0.78,111397.91174
0.81,111223.53465
0.84,111119.3088
0.87,111084.11732
0.9,111052.45894
0.93,111023.73947
0.96,110982.26419
0.99,110908.01526
1.02,110839.89005
1.05,110769.03839
1.08,110663.34532
1.11,110579.72829
1.14,110450.67861
1.17,110406.13515
1.2,110387.73311
1.23,110372.06747
1.26,110357.35759
1.29,110320.21382
1.32,110208.44426
1.35,110111.0615
1.38,109964.42923
1.41,109922.59237
1.44,109903.94743
1.47,109892.98318
1.5,109874.30476
1.53,109846.04297
1.56,109819.01352
1.59,109792.45479
1.62,109709.69248
1.65,109627.75
1.68,109434.73218
1.71,109417.79621
1.74,109408.04319
1.77,109399.75228
1.8,109390.72166
1.83,109322.45567
1.86,109190.19611
1.89,109032.90696
1.92,108968.93927
1.95,108965.7006
1.98,108964.31066
2.01,108965.5954
2.04,108939.04461
2.07,108892.7569
2.1,108852.8753
2.13,108784.64176
2.16,108713.68481
2.19,108681.51218
2.22,108661.40622
2.25,108652.20596
2.28,108634.0653
2.31,108617.13019
2.34,108601.55511
2.37,108561.96631
2.4,108384.56908
2.43,108315.31921
2.46,108280.98967
2.49,108262.88776
2.52,108246.5932
2.55,108231.27612
2.58,108216.16089
2.61,108086.41145
2.64,107982.22278
2.67,107898.84555
2.7,107885.59766
2.73,107884.844
2.76,107885.6079
2.79,107887.17272
2.82,107862.50513
2.85,107807.13725
2.88,107758.2935
2.91,107670.08096
2.94,107579.9839
2.97,107534.56465
3.0,107501.71994
3.03,107490.43916
3.06,107481.56326
3.09,107473.13631
3.12,107465.16939
3.15,107404.41732
3.18,107308.14233
3.21,107208.51028
3.24,107124.0864
3.27,107120.44091
3.3,107120.85475
3.33,107123.91688
3.36,107118.46318
3.39,107076.74934
3.42,107039.03898
3.45,107001.75074
3.48,106871.69327
3.51,106786.31734
3.54,106722.81711
3.57,106709.86548
3.6,106707.17465
3.63,106705.52523
3.66,106704.65024
3.69,106683.63154
3.72,106612.70663
3.75,106556.11193
3.78,106457.99584
3.81,106418.74767
3.84,106418.80774
3.87,106421.04373
3.9,106425.19309
3.93,106403.86527
3.96,106350.92159
3.99,106305.4717
4.02,106175.87184
4.05,106110.19599
4.08,106107.34586
4.11,106108.36199
4.14,106112.612
4.17,106066.00688
4.2,106018.56994
4.23,105973.14247
4.26,105792.46226
4.29,105713.26352
4.32,105674.21146
4.35,105660.7645
4.38,105651.42554
4.41,105642.79759
4.44,105634.5185
4.47,105584.38101
4.5,105496.76857
4.53,105417.15126
4.56,105333.37758
4.59,105314.11344
4.62,105313.7348
4.65,105316.6799
4.68,105321.27649
4.71,105287.99278
4.74,105257.5074
4.77,105229.1801
4.8,105136.74247
4.83,105042.12369
4.86,104987.93701
4.89,104954.62118
4.92,104949.97824
4.95,104946.08809
4.98,104943.05501
5.01,104940.46889
5.04,104865.66084
5.07,104789.65476
5.1,104689.36783
5.13,104643.19114
5.16,104641.95661
5.19,104641.73551
5.22,104642.38908
5.25,104637.51837
5.28,104544.02524
5.31,104467.11621
5.34,104324.97165
5.37,104294.3651
5.4,104294.23277
5.43,104296.56363
5.46,104300.81828
5.49,104255.49276
5.52,104203.04661
5.55,104153.32263
5.58,104007.27393
5.61,103923.15104
5.64,103878.04779
5.67,103863.86387
5.7,103858.20883
5.73,103853.3971
5.76,103849.00266
5.79,103828.53849
5.82,103753.30683
5.85,103691.15978
5.88,103602.63722
5.91,103553.18937
5.94,103552.65369
5.97,103554.14064
6.0,103558.78827
6.03,103542.41513
6.06,103511.03772
6.09,103483.16053
6.12,103435.60229
6.15,103325.52844
6.18,103270.7666
6.21,103236.38478
6.24,103224.66882
6.27,103217.9073
6.3,103211.8002
6.33,103206.12138
6.36,103184.43186
6.39,103097.63814
6.42,103031.50566
6.45,102942.1101
6.48,102917.04915
6.51,102917.32775
6.54,102919.2617
6.57,102922.5224
6.6,102902.61942
6.63,102848.18312
6.66,102799.87646
6.69,102703.87185
6.72,102595.76958
6.75,102551.24207
6.78,102520.51877
6.81,102511.48175
6.84,102503.86207
6.87,102496.89758
6.9,102490.25764
6.93,102427.4255
6.96,102347.22509
6.99,102259.52971
7.02,102180.63417
7.05,102176.09654
7.08,102176.79425
7.11,102179.98522
7.14,102178.39499
7.17,102132.30842
7.2,102091.05075
7.23,102046.18624
7.26,101897.12429
7.29,101849.98912
7.32,101828.96046
7.35,101817.70158
7.38,101797.83232
7.41,101779.30236
7.44,101762.38448
7.47,101690.6291
7.5,101569.38011
7.53,101507.23191
7.56,101471.25749
7.59,101463.1776
7.62,101455.79599
7.65,101449.1428
7.68,101442.78202
7.71,101355.95313
7.74,101271.32997
7.77,101176.44457
7.8,101140.81328
7.83,101141.05264
7.86,101142.63683
7.89,101145.24802
7.92,101139.07577
7.95,101082.43246
7.98,101033.37156
8.01,100964.99857
8.04,100885.48852
8.07,100871.48551
8.1,100870.38026
8.13,100874.05203
8.16,100866.63214
8.19,100841.62701
8.22,100818.82316
8.25,100796.7847
8.28,100695.57414
8.31,100612.92099
8.34,100553.37521
8.37,100525.21953
8.4,100523.16373
8.43,100521.98287
8.46,100521.43982
8.49,100521.49846
8.52,100449.77756
8.55,100385.57502
8.58,100296.21733
8.61,100200.34566
8.64,100175.66492
8.67,100160.07047
8.7,100151.24852
8.73,100131.71247
8.76,100113.48634
8.79,100096.16729
8.82,100047.36546
8.85,99945.00998
8.88,99865.6147
8.91,99795.27686
8.94,99791.17818
8.97,99791.27607
9.0,99792.61049
9.03,99794.88593
9.06,99757.18784
9.09,99702.03605
9.12,99655.96138
9.15,99551.16054
9.18,99506.11787
9.21,99502.07961
9.24,99502.95138
9.27,99506.51441
9.3,99477.27741
9.33,99450.3811
9.36,99425.60115
9.39,99331.04712
