Time(s),Thrust(N)
0,0
0.03,110964.99751
0.06,110824.84056
0.09,110683.31722
0.12,110525.60523
0.15,110408.73717
0.18,110292.86186
0.21,110177.49256
0.24,110063.12358
0.27,109908.91961
0.3,109788.79026
0.33,109677.48256
0.36,109566.83924
0.39,109456.61131
0.42,109334.84166
0.45,109185.95042
0.48,109075.35956
0.51,108965.41234
0.54,108856.06469
0.57,108747.21535
0.6,108619.36031
0.63,108477.38354
0.66,108367.30415
0.69,108257.84532
0.72,108148.99042
0.75,108040.71676
0.78,107908.58318
0.81,107771.47643
0.84,107661.75756
0.87,107552.65051
0.9,107444.1721
0.93,107336.32823
0.96,107200.67981
0.99,107067.56722
1.02,106958.25684
1.05,106849.55494
1.08,106741.51012
1.11,106634.12426
1.14,106495.31549
1.17,106366.08165
1.2,106257.23943
1.23,106149.00373
1.26,106041.4462
1.29,105934.54835
1.32,105792.69448
1.35,105668.21056
1.38,105383.1643
1.41,105277.09389
1.44,105169.5796
1.47,105061.34214
1.5,104914.65177
1.53,104793.34672
1.56,104508.85654
1.59,104403.10723
1.62,104295.65849
1.65,104187.74673
1.68,104037.8827
1.71,103920.46537
1.74,103814.38977
1.77,103708.91702
1.8,103601.4879
1.83,103493.28098
1.86,103340.77179
1.89,103227.19781
1.92,103121.38992
1.95,103016.18372
1.98,102908.77515
2.01,102797.33176
2.04,102645.1185
2.07,102535.39011
2.1,102429.8483
2.13,102324.907
2.16,102217.52098
2.19,102102.83521
2.22,101951.05891
2.25,101845.04247
2.28,101739.76936
2.31,101635.09556
2.34,101527.7311
2.37,101409.79419
2.4,101261.75805
2.43,101156.14779
2.46,101051.14082
2.49,100946.48001
2.52,100839.37845
2.55,100718.17324
2.58,100574.01
2.61,100468.66178
2.64,100363.91584
2.67,100259.25764
2.7,100152.42599
2.73,100027.94754
2.76,99887.66406
2.79,99782.58457
2.82,99678.1063
2.85,99573.45971
2.88,99466.91041
2.91,99339.16535
2.94,99202.77667
2.97,99097.96588
3.0,98993.75525
3.03,98889.12205
3.06,98782.85478
3.09,98651.83702
3.12,98519.34331
3.15,98414.79105
3.18,98310.8379
3.21,98206.21976
3.24,98100.24966
3.27,97965.96855
3.3,97836.53566
3.33,97730.29355
3.36,97624.6494
3.39,97344.25646
3.42,97240.59118
3.45,97105.04721
3.48,96980.97726
3.51,96876.2317
3.54,96772.08304
3.57,96493.12315
3.6,96390.30709
3.63,96252.03569
3.66,96131.9219
3.69,96027.50368
3.72,95923.68126
3.75,95820.2623
3.78,95717.31629
3.81,95575.33081
3.84,95458.27206
3.87,95353.43135
3.9,95249.18527
3.93,95145.17519
3.96,95041.6035
3.99,94895.40245
4.02,94781.01086
4.05,94675.45033
4.08,94570.48324
4.11,94465.6816
4.14,94359.28193
4.17,94210.79156
4.2,94099.04241
4.23,93992.7708
4.26,93887.09141
4.29,93781.62799
4.32,93671.00563
4.35,93521.92178
4.38,93413.07654
4.41,93306.35026
4.44,93200.21498
4.47,93094.44639
4.5,92979.93788
4.53,92832.46803
4.56,92725.10265
4.59,92618.33207
4.62,92512.15112
4.65,92406.5491
4.68,92288.58694
4.71,92144.73609
4.74,92037.78411
4.77,91931.42593
4.8,91825.68474
4.83,91720.72605
4.86,91599.77171
4.89,91460.04937
4.92,91180.25711
4.95,91074.7993
4.98,90970.01461
5.01,90866.13985
5.04,90742.62545
5.07,90607.49761
5.1,90329.16912
5.13,90224.94037
5.16,90121.44585
5.19,90018.8939
5.22,89893.04902
5.25,89762.75066
5.28,89659.24924
5.31,89556.33856
5.34,89454.19145
5.37,89352.92248
5.4,89224.70049
5.43,89099.14525
5.46,88996.818
5.49,88895.08041
5.52,88794.05122
5.55,88693.74623
5.58,88562.82228
5.61,88441.58364
5.64,88339.92075
5.67,88238.84641
5.7,88138.28572
5.73,88038.23971
5.76,87903.90299
5.79,87786.09953
5.82,87684.16947
5.85,87582.82682
5.88,87481.59378
5.91,87380.64725
5.94,87241.73243
5.97,87127.18673
6.0,87025.43184
6.03,86924.2632
6.06,86823.27759
6.09,86722.69798
6.12,86580.46665
6.15,86467.51823
6.18,86363.04933
6.21,86087.14866
6.24,85986.90906
6.27,85886.16873
6.3,85743.81819
6.33,85635.65903
6.36,85532.65397
6.39,85258.44987
6.42,85159.76966
6.45,85056.51834
6.48,84915.38085
6.51,84811.50633
6.54,84709.49685
6.57,84608.07004
6.6,84510.45167
6.63,84404.22849
6.66,84265.83392
6.69,84163.82342
6.72,84062.39932
6.75,83961.70617
6.78,83864.61629
6.81,83755.06453
6.84,83620.32004
6.87,83518.58712
6.9,83417.43958
6.93,83317.27727
6.96,83220.33365
6.99,83107.19437
7.02,82975.83621
7.05,82874.16026
7.08,82773.06863
7.11,82673.20505
7.14,82576.23112
7.17,82459.32185
7.2,82331.17462
7.23,82229.42507
7.26,82128.25876
7.29,82028.5559
7.32,81931.44121
7.35,81640.11968
7.38,81515.1201
7.41,81413.25994
7.44,81311.98193
7.47,81212.41445
7.5,81115.17733
7.53,80820.21207
7.56,80698.36421
7.59,80596.41473
7.62,80495.0463
7.65,80395.65337
7.68,80298.35327
7.71,80169.85254
7.74,80051.21607
7.77,79949.24621
7.8,79847.85625
7.83,79748.73596
7.86,79651.48244
7.89,79519.25799
7.92,79404.01707
7.95,79302.20348
7.98,79200.96864
8.01,79102.34135
8.04,79005.35764
8.07,78869.62662
8.1,78758.06268
8.13,78656.67775
8.16,78555.87041
8.19,78458.04701
8.22,78361.62844
8.25,78222.6801
8.28,78115.14781
8.31,78014.52091
8.34,77914.47041
8.37,77648.6534
8.4,77549.71444
8.43,77411.45867
8.46,77308.45086
8.49,77209.04057
8.52,77110.20551
8.55,76846.34226
8.58,76745.02479
8.61,76608.46489
8.64,76510.27384
8.67,76412.57866
8.7,76315.45284
8.73,76218.16371
8.76,76110.3009
8.79,75974.65392
8.82,75876.55893
8.85,75779.04176
8.88,75682.05012
8.91,75585.17598
8.94,75473.90167
8.97,75342.17768
9.0,75243.3329
9.03,75145.06486
9.06,75047.38439
9.09,74950.33851
9.12,74835.05981
9.15,74706.84486
9.18,74608.29875
9.21,74510.32831
9.24,74413.04896
9.27,74316.65126
9.3,74030.20477
9.33,73906.37949
9.36,73808.77992
9.39,73711.75498
9.42,73615.52349
9.45,73520.24413
9.48,73231.30124
9.51,73112.28722
9.54,73015.90452
9.57,72920.09536
9.6,72825.1434
9.63,72731.09758
9.66,72607.27336
9.69,72493.10813
9.72,72397.88638
9.75,72303.23706
9.78,72209.45811
9.81,72116.49004
9.84,71989.87977
9.87,71880.3937
9.9,71786.12848
9.93,71692.43455
9.96,71599.55253
9.99,71507.36755
10.02,71377.67078
10.05,71272.50051
10.08,71178.82088
10.11,71085.71136
10.14,70993.30599
10.17,70734.66827
10.2,70601.51987
10.23,70498.95453
10.26,70403.79289
10.29,70309.20012
10.32,70217.94335
10.35,69958.16475
10.38,69825.91701
10.41,69727.79746
10.44,69633.47632
10.47,69539.72287
10.5,69448.94479
10.53,69351.96734
10.56,69219.86312
10.59,69124.61292
10.62,69029.79159
10.65,68935.54474
10.68,68844.05761
10.71,68742.2241
10.74,68612.68132
10.77,68516.06942
10.8,68420.02758
10.83,68324.74837
10.86,68231.88233
10.89,68124.75163
10.92,67997.18848
10.95,67899.21675
10.98,67636.03325
11.01,67539.64723
11.04,67445.59654
11.07,67333.35465
11.1,67208.04456
11.13,67109.20397
11.16,66845.38429
11.19,66748.45596
11.22,66653.97301
11.25,66537.3622
11.28,66415.22447
11.31,66316.57099
11.34,66218.48427
11.37,66122.2226
11.4,66028.61174
11.43,65908.92832
11.46,65791.51198
11.49,65694.63713
11.52,65598.32796
11.55,65502.58975
11.58,65407.41553
11.61,65282.21743
11.64,65167.81692
11.67,65071.35722
11.7,64975.46205
11.73,64880.24766
11.76,64620.9155
11.79,64492.40083
11.82,64382.50482
11.85,64286.87263
11.88,64191.80383
11.91,64097.53255
11.94,63839.40572
11.97,63707.8935
12.0,63602.84409
12.03,63508.32367
12.06,63414.36549
12.09,63321.29936
12.12,63228.5576
12.15,63094.55009
12.18,62994.47646
12.21,62901.13996
12.24,62808.36451
12.27,62716.49635
12.3,62620.91015
12.33,62488.06101
12.36,62392.86563
12.39,62300.59078
12.42,62208.87576
12.45,62117.95423
12.48,61855.44238
12.51,61724.98756
12.54,61632.83286
12.57,61541.24294
12.6,61450.20784
12.63,61359.63542
12.66,61093.6808
12.69,60967.31613
12.72,60875.04895
12.75,60783.34408
12.78,60692.10731
12.81,60600.85916
12.84,60493.79491
12.87,60370.35094
12.9,60276.67836
12.93,60183.56696
12.96,60091.65545
12.99,60002.40142
13.02,59893.30322
13.05,59775.07691
13.08,59681.70447
13.11,59588.89209
13.14,59497.54417
13.17,59245.6617
13.2,59132.8585
13.23,59018.51511
13.26,58925.49823
13.29,58833.04031
13.32,58742.30361
13.35,58490.98389
13.38,58374.46378
13.41,58264.00757
13.44,58171.32926
13.47,58079.20878
13.5,57989.06899
13.53,57900.75936
13.56,57780.46943
13.59,57673.87225
13.62,57581.49834
13.65,57489.68108
13.68,57400.09705
13.71,57312.06743
13.74,57187.99618
13.77,57086.29777
13.8,56995.76129
13.83,56905.78032
13.86,56654.05512
13.89,56564.82289
13.92,56435.47941
13.95,56335.61831
13.98,56242.98624
14.01,56150.90838
14.04,55900.2153
14.07,55809.2773
14.1,55680.50147
14.13,55585.58416
14.16,55494.21952
14.19,55403.4079
14.22,55315.8935
14.25,55221.87898
14.28,55094.70911
14.31,55003.70926
14.34,54913.19747
14.37,54823.29517
14.4,54736.69359
14.43,54639.25089
14.46,54516.44866
14.49,54264.73346
14.52,54174.80922
14.55,54085.75708
14.58,53999.59636
14.61,53898.48051
14.64,53779.72772
14.67,53528.58602
14.7,53439.00022
14.73,53350.52786
14.76,53264.58823
14.79,53159.56906
14.82,53044.64194
14.85,52954.61215
14.88,52865.13556
14.91,52777.00473
14.94,52691.09753
14.97,52581.97878
15.0,52470.69428
15.03,52380.66041
15.06,52291.1786
15.09,52042.86002
15.12,51956.94044
15.15,51843.66903
15.18,51736.00068
15.21,51645.9597
15.24,51556.46964
15.27,51308.61634
15.3,51222.6731
15.33,51105.22713
15.36,51001.1908
15.39,50911.16167
15.42,50821.68227
15.45,50734.27089
15.48,50648.3056
15.51,50526.6778
15.54,50426.30857
15.57,50336.32005
15.6,50246.88002
15.63,50159.80027
15.66,50073.9327
15.69,49788.60474
15.72,49692.11219
15.75,49602.36533
15.78,49513.16576
15.81,49426.65428
15.84,49337.56298
15.87,49052.16512
15.9,48959.79473
15.93,48870.50776
15.96,48781.76682
15.99,48696.0797
16.02,48603.35753
16.05,48479.05877
16.08,48389.94589
16.11,48301.35036
16.14,48213.40528
16.17,48128.73458
16.2,48032.64692
16.23,47912.96426
16.26,47665.97304
16.29,47578.45612
16.32,47491.90763
16.35,47408.48528
16.38,47309.43269
16.41,47194.7998
16.44,46949.52452
16.47,46863.48857
16.5,46777.84976
16.53,46692.29885
16.56,46586.89345
16.59,46474.1995
16.62,46386.38349
16.65,46299.11364
16.68,46213.25541
16.71,46129.54929
16.74,46021.75657
16.77,45914.18976
16.8,45826.69444
16.83,45581.60011
16.86,45496.35394
16.89,45412.9904
16.92,45301.29874
16.95,45197.82219
16.98,45110.67968
17.01,44866.17085
17.04,44781.53122
17.07,44698.50768
17.1,44582.90341
17.13,44483.53177
17.16,44396.74905
17.19,44310.50901
17.22,44226.43585
17.25,44143.70888
17.28,44024.14006
17.31,43928.84264
17.34,43842.3775
17.37,43599.01397
17.4,43515.54116
17.43,43431.96418
17.46,43309.64469
17.49,43218.462
17.52,43132.34121
17.55,42889.55462
17.58,42806.67671
17.61,42719.14659
17.64,42597.16439
17.67,42510.11815
17.7,42424.35301
17.73,42339.12678
17.76,42256.80887
17.79,42165.28113
17.82,42046.65701
17.85,41960.66184
17.88,41718.43382
17.91,41633.78034
17.94,41551.83802
17.97,41456.34408
18.0,41341.86669
18.03,41256.2277
18.06,41014.58861
18.09,40930.54446
18.12,40848.93574
18.15,40749.45678
18.18,40639.13393
18.21,40553.85292
18.24,40469.11206
18.27,40385.64231
18.3,40304.34497
18.33,40200.84976
18.36,40094.66952
18.39,39853.60488
18.42,39769.22785
18.45,39686.37212
18.48,39605.41844
18.51,39497.92883
18.54,39395.93418
18.57,39155.46128
18.6,39071.44105
18.63,38989.19249
18.66,38908.58082
18.69,38797.0836
18.72,38699.29152
18.75,38615.06173
18.78,38531.3686
18.81,38449.6933
18.84,38369.38974
18.87,38253.84285
18.9,38004.78028
18.93,37920.91231
18.96,37837.57979
18.99,37756.51135
19.02,37676.35472
19.05,37556.98192
19.08,37312.37522
19.11,37228.86472
19.14,37145.88842
19.17,37065.41326
19.2,36981.20464
19.23,36862.16663
19.26,36777.001
19.29,36693.80484
19.32,36611.14155
19.35,36531.23619
19.38,36288.12726
19.41,36171.8981
19.44,36088.52866
19.47,36005.69544
19.5,35923.57401
19.53,35844.08084
19.56,35597.13665
19.59,35485.14676
19.62,35402.13246
19.65,35319.6533
19.68,35238.1375
19.71,35158.98361
19.74,35062.54696
19.77,34954.77323
19.8,34872.07258
19.83,34789.90594
19.86,34554.75743
19.89,34475.94061
19.92,34375.41349
19.95,34271.90624
19.98,34189.5681
20.01,34107.76285
20.04,33873.4528
20.07,33794.97055
20.1,33690.33835
20.13,33591.11135
20.16,33509.13402
20.19,33427.68841
20.22,33347.94598
20.25,33269.77206
20.28,33160.99844
20.31,32912.42574
20.34,32830.81285
20.37,32749.73048
20.4,32670.58925
20.43,32592.75452
20.46,32479.85843
20.49,32235.83009
20.52,32154.57747
20.55,32073.85415
20.58,31995.31861
